score,rows,cols,path,layer,row_filtered,n_lst_cols,n_hi_cols,n_hot_cols,n_demo_cols,lst_cols_preview,hi_cols_preview,hot_cols_preview
2008,207,38,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,True,4,4,1,4,"lst_c, hi_minus_lst, lst_hot_q75, lst_summer_mean_c","hi_c, hi_minus_lst, hi_hot_q75, hi_summer_mean_c",mismatch_class
2008,207,38,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/share_for_chenchen_10cities_no_houston_phoenix/01_spatial_gpkg_or_vector/boston__boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,True,4,4,1,4,"lst_c, hi_minus_lst, lst_hot_q75, lst_summer_mean_c","hi_c, hi_minus_lst, hi_hot_q75, hi_summer_mean_c",mismatch_class
1908,207,38,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/boston/working/boston_heat_master_template.gpkg,heat_master_template,True,4,4,1,4,"lst_c, hi_minus_lst, lst_hot_q75, lst_summer_mean_c","hi_c, hi_minus_lst, hi_hot_q75, hi_summer_mean_c",mismatch_class
1602,207,42,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/twelve_city_final_figures/twelve_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,twelve_city_lstadaptive_heat_index_mismatch_GIS_READY,True,11,11,1,0,"lst_c, hi_minus_lst, lst_pct_city, lst_z_city, hi_minus_lst_pct, hi_minus_lst_z","hi_c, hi_minus_lst, hi_pct_city, hi_z_city, hi_minus_lst_pct, hi_minus_lst_z",mismatch_class
1578,207,18,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/six_city_expansion_figures/six_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,six_city_lstadaptive_hi_mismatch,True,7,7,1,0,"lst_c, hi_minus_lst, lst_pct_city, lst_z_city, hi_minus_lst_pct, hi_minus_lst_z","hi_c, hi_minus_lst, hi_pct_city, hi_z_city, hi_minus_lst_pct, hi_minus_lst_z",mismatch_class
1358,207,38,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/city_expansion/step3_new_city_lst_hi_combined_FIXED.gpkg,new_city_lst_hi,True,4,4,1,4,"lst_c, hi_minus_lst, lst_hot_q75, lst_summer_mean_c","hi_c, hi_minus_lst, hi_hot_q75, hi_summer_mean_c",mismatch_class
76,207,26,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/boston/working/boston_tracts_boundary_acs.gpkg,tracts_boundary_acs,True,0,0,0,4,,,
76,207,26,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_tracts_boundary_acs.gpkg,tracts_boundary_acs,True,0,0,0,4,,,
-13,1,17,/Users/yufeizhou/Desktop/heat-exposure-compare/data_raw/houston/place_2025/tl_2025_48_place.shp,,True,0,0,1,0,,,CLASSFP
-142,1,8,/Users/yufeizhou/Desktop/heat-exposure-compare/.venv-2/lib/python3.14/site-packages/libpysal/examples/virginia/vautm17n.shp,,True,0,0,0,0,,,
-142,1,8,/Users/yufeizhou/Desktop/heat-exposure-compare/.venv-2/lib/python3.14/site-packages/libpysal/examples/virginia/virginia.json,,True,0,0,0,0,,,
-142,1,8,/Users/yufeizhou/Desktop/heat-exposure-compare/.venv-2/lib/python3.14/site-packages/libpysal/examples/virginia/virginia.shp,,True,0,0,0,0,,,
-524,207,26,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/city_expansion/step2_new_city_boundary_acs_all_FIXED.gpkg,new_city_tracts_boundary_acs,True,0,0,0,4,,,
